A1 GEO ID,A2 Disease+tissue,A3 GEO title,B1 Case group,B2 Control group,B3 Control type,B4 n vs n,C1 Type,C2 Arm used,D1 Data,D2 ID type,D3 SRP,E1 Verdict
GSE207000,Adenomyosis / endometrium,Transcriptome analysis of EGR1 knock-down eutopic endometrial mesenchymal stem cells by RNA-sequencing in patients with adenomyosis.,EGR1-KD,Scr,scrambled shRNA control,3 v 3,RNA-seq,EGR1-KD vs Scr,raw counts,Gene Symbol,SRP383569,"ANALYSED - DESeq2; EGR1 knockdown in eutopic MSCs, strong knockdown signature (5049 DEGs)"
GSE262302,Adenomyosis / plasma exosomes,Exosomal miR-92a-3p as a diagnostic biomarker for adenomyosis and its pathological mechanism,Adenomyosis,Control,healthy control,8 v 8,RNA-seq,Adenomyosis vs Control,raw counts,Gene Symbol,SRP498967,"ANALYSED - DESeq2; plasma exosomes miRNA profile, low signal (7 DEGs)"
GSE316028,Endometriosis / endometrial stromal cells,Pyruvate carboxylase promotes glycolysis and progression of endometriosis by activating the AKT pathway,siPC,NC,negative control siRNA,3 v 3,RNA-seq,siPC vs NC,raw counts,Gene Symbol,SRP568341,"ANALYSED - DESeq2; PC knockdown in immortalized ESCs, very strong signature (4643 DEGs)"
GSE40007,Endometriosis / endometrial stromal cells,TNFalpha and IL1beta stimulate differential gene expression in endometrial stromal cells,TNFα,Vehicle,vehicle control,3 v 3,Microarray,TNFα vs Vehicle,microarray intensities,Entrez,no srp,"ANALYSED - limma; TNFa stimulated ESCs, low response (2 DEGs)"
GSE44207,Endometriosis / endometrial stromal cells,CCAAT/enhancer-binding protein alpha is epigenetically silenced by histone acetylation in endometriosis and promotes the pathogenesis of endometriosis: a novel therapeutic target,VPA-treated,Untreated,untreated control,4 v 4,Microarray,VPA-treated vs Untreated,microarray intensities,Probe ID,no srp,"ANALYSED - limma; VPA treatment of primary ESCs, massive chromatin remodeling response (3895 DEGs)"
GSE47360,Endometriosis / endometrial stromal cells,Genome-wide DNA methylation profiling in cultured eutopic and ectopic endometrial stromal cells (expression),Endometriosis,Control,healthy control,6 v 3,Microarray,Endometriosis vs Control,microarray intensities,Gene Symbol,no srp,"ANALYSED - limma; ESC case vs control, no independent signal (flag weak)"
GSE56854,Endometriosis / endometrial stromal cells,Compulsory expression of miR-210 in normal endometrial stromal cells,miR-210,NC miRNA,negative control transfection,4 v 4,Microarray,miR-210 vs NC miRNA,microarray intensities,Gene Symbol,no srp,"ANALYSED - limma; miR-210 overexpression in ESCs, strong response (1130 DEGs)"
GSE75425,Endometriosis / endometrial stromal cells,mRNA expression profiles in decidualized and non-decidualized normal endometrial stromal cells (NESCs).,cAMP + Dienogest,FBS,vehicle control,4 v 4,Microarray,cAMP + Dienogest vs FBS,microarray intensities,Gene Symbol,no srp,"ANALYSED - limma; decidualized ESC cAMP/dienogest vs FBS, moderate signature (6 DEGs)"
GSE51981,Endometriosis / endometrium,Molecular Classification of Endometriosis and Disease Stage Using High-Dimensional Genomic Data,Endometriosis,Control,healthy control,77 v 71,Microarray,Endometriosis vs Control,microarray intensities,Gene Symbol,no srp,"ANALYSED - limma; bulk endometrium case vs control, massive diagnostic transcriptomic signature (8476 DEGs)"
GSE6364,Endometriosis / endometrium (eutopic),Endometriosis eutopic endometrium microarray expression,Endometriosis,Control,healthy control,21 v 16,Microarray,Endometriosis vs Control,microarray intensities,Gene Symbol,no srp,"ANALYSED - limma; secretory phase endometrium, zero sig genes (flag weak)"
