dataset_id,condition,tissue_primary,subtissue,platform,technique,data_source,group_column,case_label,control_label,cycle_phase,notes
GSE34526,PCOS,Granulosa,whole-GC,GPL6244,Microarray,GEO_matrix,group,PCOS,Control,,IVF-stimulated
GSE199225,PCOS,Skeletal muscle,vastus,GPL24676,RNA-seq,recount3,group,PCOS,Control,,
GSE6364,Endometriosis,Endometrium,eutopic,GPL570,Microarray,GEO_matrix,group,Endometriosis,Control,secretory,
GSE40007,Endometriosis,Endometrial stromal cells,,GPL2895,Microarray,GEO_matrix,treatment:ch1,TNFα,vehicle,,TNFa-stimulated endometrial stromal cells (ESC)
GSE47360,Endometriosis,Endometrial stromal cells,,GPL6244,Microarray,GEO_matrix,disease status:ch1,endometriosis,non-endometriosis,,Endometriosis vs control ESC comparison
GSE56854,Endometriosis,Endometrial stromal cells,,GPL13497,Microarray,GEO_matrix,source_name_ch1,normal endometrial stromal cells transfected with precursor hsa-miR-210,normal endometrial stromal cells transfected with negative control precursor miRNA,,miR-210 transfection vs negative control in ESC
GSE75425,Endometriosis,Endometrial stromal cells,,GPL17077,Microarray,GEO_matrix,characteristics_ch1.3,"treatment: 12d dibutyryl-cAMP and dienogest","treatment: 12d 10% charcoal-stripped heat-inactivated FBS",,Decidualized ESC comparison (cAMP and dienogest vs FBS)
GSE102293,PCOS,Granulosa,,GPL570,Microarray,GEO_matrix,characteristics_ch1.1,"phenotype: PCOS (Polycystic ovary syndrome)",phenotype: normal,,PCOS vs normal phenotype in granulosa cells (GC)
GSE106724,PCOS,Granulosa,,GPL21096,Microarray,GEO_matrix,disease state:ch1,PCOS with hyperandrogenism,normal control,,PCOS with hyperandrogenism vs normal control in GC
GSE114419,PCOS,Granulosa,,GPL17586,Microarray,GEO_matrix,diagnosis:ch1,Polycystic Ovary Syndrome (PCOS),healthy control,,Polycystic Ovary Syndrome (PCOS) vs healthy control in GC
GSE137684,PCOS,Granulosa,,GPL17077,Microarray,GEO_matrix,characteristics_ch1.2,condition: Normoandrogenic PCOS,condition: Normal,,Normoandrogenic PCOS vs normal control in GC
GSE6798,PCOS,Skeletal muscle,,GPL570,Microarray,GEO_matrix,group,PCOS,Control,,PCOS vs control in skeletal muscle
GSE8157,PCOS,Skeletal muscle,,GPL570,Microarray,GEO_matrix,group,PCOS,Control,,PCOS vs control in skeletal muscle
GSE316028,Endometriosis,Endometrial stromal cells,,GPL24676,RNA-seq,GEO_matrix,group,siPC,NC,,
GSE44207,Endometriosis,Endometrial stromal cells,,GPL13497,Microarray,GEO_matrix,group,VPA-treated,untreated,,
GSE51981,Endometriosis,Endometrium,,GPL570,Microarray,GEO_matrix,group,Endometriosis,Control,,
GSE286315,Endometriosis,Endometrial stromal cells,,GPL24676,RNA-seq,GEO_matrix,group,HOXC4 KO,Control EcSCs,,
GSE207000,Adenomyosis,Endometrium,,GPL24676,RNA-seq,GEO_matrix,group,EGR1-KD,Scr,,
GSE262302,Adenomyosis,Plasma exosomes,,GPL24676,RNA-seq,GEO_matrix,group,Adenomyosis,Control,,
 
