gene	log2FC	p	padj	n
ENSG00000162433	-1.32006245460032	3.59570440463033e-22	3.57233232600023e-18	10
ENSG00000138356	-1.28268316881123	1.11476790744267e-10	5.53760958022146e-07	10
ENSG00000124766	2.57067790987098	4.22406950117602e-10	1.39887101647279e-06	10
ENSG00000112936	1.52722659771925	2.65379393641578e-09	6.59136068957269e-06	10
ENSG00000005187	1.85776158897137	6.36635038035103e-09	1.26499382057575e-05	10
ENSG00000196730	2.23749591144365	1.77019046738476e-08	2.89713140663717e-05	10
ENSG00000134333	-0.867567842290092	2.04126017578865e-08	2.89713140663717e-05	10
ENSG00000114251	1.33944545289876	1.89550971252038e-07	0.000233435255322608	10
ENSG00000133392	4.5489213624633	2.1146626048349e-07	0.000233435255322608	10
ENSG00000102144	-0.784604003924597	3.64849095924737e-07	0.000335075777504356	10
ENSG00000142178	1.04350093404594	3.80871752728725e-07	0.000335075777504356	10
ENSG00000147155	-0.975585481610496	4.04721623558357e-07	0.000335075777504356	10
ENSG00000184613	1.26656326986278	4.65200889489874e-07	0.000355520833621685	10
ENSG00000141338	1.30045160056873	5.49533877776027e-07	0.000366747890713775	10
ENSG00000103942	2.0172043218223	5.53721022718331e-07	0.000366747890713775	10
ENSG00000152527	1.4347197011603	6.89095890683737e-07	0.000427885479621433	10
ENSG00000221926	-1.48519438808113	8.03174066084175e-07	0.000469384373326252	10
ENSG00000012822	0.787020547408213	1.06369716097689e-06	0.000587101738572521	10
ENSG00000117318	2.69899820799884	1.13369284908986e-06	0.000588584971724695	10
ENSG00000259905	2.48127624699826	1.18487160890729e-06	0.000588584971724695	10
ENSG00000162873	2.58380989515906	1.54552949635254e-06	0.000731182645060118	10
ENSG00000134824	-1.26743585029354	1.78560933574566e-06	0.000806364943210595	10
ENSG00000160752	-1.18434404890431	2.58148954361464e-06	0.00108026905524444	10
ENSG00000196678	1.73362220355463	2.60960818579431e-06	0.00108026905524444	10
ENSG00000150907	0.781493014272023	3.00353353660332e-06	0.00119360422744616	10
ENSG00000250722	1.89153036072926	3.45379720735479e-06	0.00125895872274406	10
ENSG00000163347	-1.6786182402281	3.5321158505264e-06	0.00125895872274406	10
ENSG00000148175	-0.526518696785196	3.62754802949965e-06	0.00125895872274406	10
ENSG00000138413	-1.29018116407468	3.67486693100935e-06	0.00125895872274406	10
ENSG00000176171	-0.879930130018153	4.16326172765734e-06	0.00132327875157586	10
ENSG00000140044	1.54871553523717	4.1901050445829e-06	0.00132327875157586	10
ENSG00000147383	-1.01962652606564	4.2621962808684e-06	0.00132327875157586	10
ENSG00000166341	1.57015267032092	5.86525774051658e-06	0.00174834822513936	10
ENSG00000137463	-0.814188885679512	6.14669637885667e-06	0.00174834822513936	10
ENSG00000099194	-1.00353609761153	6.1592539385886e-06	0.00174834822513936	10
ENSG00000108960	-1.08288112543493	8.40114343096372e-06	0.00227518276495995	10
ENSG00000165521	1.55575715619475	8.47325237076175e-06	0.00227518276495995	10
ENSG00000134285	-0.805944726458528	8.794683394297e-06	0.00229934682953528	10
ENSG00000143768	-2.94749908982097	1.16663646149814e-05	0.00297193160127795	10
ENSG00000136111	1.02027894515185	1.25394661104901e-05	0.00311448989519297	10
ENSG00000198673	2.17562676420599	1.3157641397073e-05	0.00318832115316879	10
ENSG00000182534	-0.555625913562928	1.4494734990142e-05	0.00331116928724313	10
ENSG00000170522	-1.31299196072879	1.45485997599069e-05	0.00331116928724313	10
ENSG00000106483	3.1703622946502	1.46644638790838e-05	0.00331116928724313	10
ENSG00000119508	0.977193324027876	1.73252285688248e-05	0.00382502546291722	10
ENSG00000166033	1.47213267811634	2.06319613812984e-05	0.00443386251516055	10
ENSG00000066654	1.08213588633153	2.09754945357369e-05	0.00443386251516055	10
ENSG00000147872	-0.790772750349966	2.40116040354764e-05	0.00496990179359288	10
