gene	log2FC	p	padj	n
COL6A3	-2.42831988976675	2.70118775569959e-16	2.60070357118756e-12	6
IGFBP3	8.8458158346838	1.05123947166691e-08	5.06066681660451e-05	6
TNS2	-8.67016491433241	5.28430212020805e-08	0.000169590869377877	6
FCGR1A	8.78697709351932	1.37646789580662e-07	0.000298564365513596	6
ABHD16A	2.43982066920101	1.84290824332275e-07	0.000298564365513596	6
MX2	2.83171256761605	1.86060053290567e-07	0.000298564365513596	6
CDC6	8.60875119080087	4.73160510560301e-07	0.000650798485096368	6
CYP19A1	1.72750694936823	1.46590646048475e-06	0.00176421842519339	6
CXXC5	8.41301379058713	1.93332845558378e-06	0.00206823181892896	6
ANKRD54	8.46724183293216	4.61206573957894e-06	0.0044404968940666	6
FLNB	-1.03508809253399	5.98325637692894e-06	0.00523698112700653	6
NXF1	1.89095610090985	6.96965947951509e-06	0.00559199012239761	6
ZBED6	-2.19226327997816	7.850610127575e-06	0.00564658598269203	6
ADCK1	8.27403258244778	8.63233307143548e-06	0.00564658598269203	6
TMEM8B	8.27843345683083	9.32987531691145e-06	0.00564658598269203	6
URM1	8.26961542076431	1.00338083286649e-05	0.00564658598269203	6
ADO	8.25063608876547	1.05565587545136e-05	0.00564658598269203	6
SLC35A5	8.25063608876547	1.05565587545136e-05	0.00564658598269203	6
CLPTM1L	-8.20464031081659	1.17732683980402e-05	0.00596594884928059	6
IFI44	3.08438242995402	1.49500935153124e-05	0.00643782543867383	6
CDK1	8.27432751665374	1.50368606497623e-05	0.00643782543867383	6
IRF1	2.2997960629171	1.54014724829301e-05	0.00643782543867383	6
TRIM35	-1.91005476367768	1.61557262916309e-05	0.00643782543867383	6
AK4	-1.67156236619839	1.63003804643992e-05	0.00643782543867383	6
PCNA	8.2363290378039	1.73850707733194e-05	0.00643782543867383	6
SNRPD3	8.2363290378039	1.73850707733194e-05	0.00643782543867383	6
IFI44L	2.69115648978788	1.90528393426329e-05	0.00679410137743962	6
IL18RAP	8.21677199016147	2.32163978466963e-05	0.00798312423099973	6
PIM1	1.84468681981407	2.79144703583494e-05	0.00926760415897201	6
PLSCR1	1.74679846426352	3.76803628750735e-05	0.0120928844587069	6
WDR81	-2.12159421963597	4.30723782008311e-05	0.013118109369453	6
ADAMTS1	-1.20045225991092	4.35998649587136e-05	0.013118109369453	6
KCNT2	-8.03029517803471	7.50781584952012e-05	0.0219046215149029	6
ZNF696	-8.00278611562708	8.98977110451289e-05	0.0254569165277206	6
NCAPG2	8.03460074966436	9.93484182530881e-05	0.0273293305983066	6
PHLDB1	-2.43324383175549	0.000106951101854388	0.0286034780181679	6
ADGRD1	-8.01281772316804	0.000119885423766821	0.0311961313520798	6
CEP250	-1.85465033510065	0.00012763315997538	0.0323382122169199	6
CMPK2	3.27217811338979	0.000142487956712883	0.0351762576213241	6
PXDN	-1.80701434229349	0.000147657469686804	0.0355411529536137	6
CARD16	8.00715508524226	0.000157033997359497	0.0368761786970057	6
LAMC1	-1.19244097345507	0.000165843560476938	0.0380176619112371	6
ATXN2	-1.92616679506413	0.00019856228966019	0.0431217010038404	6
MAN2C1	1.93791569338393	0.000199180589990014	0.0431217010038404	6
FBXO21	-1.37020791390707	0.000201545133482844	0.0431217010038404	6
OAS3	2.23664314117624	0.000217601435756728	0.0455449265970822	6
PFAS	-2.06201403991501	0.000224718286512757	0.0460337800541453	6
STX11	1.79838908069864	0.000236127663769591	0.0473632738911172	6
PCNT	-1.86535516001703	0.00024699394888552	0.0475662348605148	6
DENND5A	2.42036012216901	0.000247020330600929	0.0475662348605148	6
HLA-E	1.10518315332581	0.000269428040539623	0.0491174604060442	6
ZDHHC20	-1.81602082954015	0.000272573770167517	0.0491174604060442	6
ZNFX1	1.72356101004118	0.000273658042600176	0.0491174604060442	6
DAPP1	8.22620690027283	0.000280074962909703	0.0491174604060442	6
PDE3B	8.22243729692197	0.000280583747645662	0.0491174604060442	6
AMOTL1	-1.03807307388824	0.00028611210755541	0.0491908459204194	6
EAF2	7.8566649652916	0.000312867220321368	0.0510556880890531	6
PDLIM3	7.8566649652916	0.000312867220321368	0.0510556880890531	6
RABAC1	7.8566649652916	0.000312867220321368	0.0510556880890531	6
ZFPM2	7.86980014702617	0.000332338054421866	0.0533291797995621	6
TMCO6	-7.82197065995198	0.000365040514302377	0.0550193804079848	6
LRRC27	-7.80049120191954	0.000365149228762007	0.0550193804079848	6
SLC27A4	-7.80049120191954	0.000365149228762007	0.0550193804079848	6
PLD2	-1.49537880218104	0.000369325620175169	0.0550193804079848	6
ISG20L2	7.85117131534077	0.000376042773089534	0.0550193804079848	6
LAMA1	-1.12235216056647	0.000388180274053168	0.0550193804079848	6
GATAD2B	-7.81192595040698	0.000389224025364923	0.0550193804079848	6
ZSCAN21	-7.81192595040698	0.000389224025364923	0.0550193804079848	6
EIF6	7.83899056505001	0.00040545705407085	0.0550193804079848	6
LINC00473	7.83899056505001	0.00040545705407085	0.0550193804079848	6
B2M	1.64639768913286	0.000411710255810707	0.0550193804079848	6
DARS1	-1.81670497449517	0.000413217370754252	0.0550193804079848	6
ATP1B3	1.74102602994016	0.000417159822370471	0.0550193804079848	6
FZD7	-7.79014247403358	0.000439621699533661	0.0564166225879479	6
PIAS3	-7.79014247403358	0.000439621699533661	0.0564166225879479	6
SHFL	2.21600806261754	0.000445332708421691	0.0564166225879479	6
COA6	7.81973003946009	0.00045651966437599	0.057082744527429	6
CLMP	7.8133732419939	0.000474188987352819	0.0577705086032608	6
UQCR11	7.8133732419939	0.000474188987352819	0.0577705086032608	6
ARRB2	0.995687566925591	0.000481441950873918	0.0577705086032608	6
PTPRN	-2.13888569545349	0.000486021104784392	0.0577705086032608	6
STAT1	1.33130963376944	0.000492368244571796	0.0578112373016738	6
GRB2	1.40181410165742	0.000508110391618445	0.0589408054277396	6
RSAD2	3.43811572469338	0.000535504797376851	0.0611375129377876	6
NCOA3	-1.35505561820704	0.000539747465695051	0.0611375129377876	6
SIPA1L1	-1.5779360951121	0.000547657022386391	0.0613121140876299	6
ZBTB40	-1.77647089704411	0.000561568684389913	0.0619223265956308	6
CHD8	-1.17908471799516	0.000565970579602774	0.0619223265956308	6
SLC6A6	-1.10515962512464	0.000578951031429185	0.0626307924786538	6
SMOC2	-7.76682628959675	0.000595888988686882	0.0630463646492011	6
SNRNP48	-7.76682628959675	0.000595888988686882	0.0630463646492011	6
OAS2	1.9571672543993	0.000614267432856609	0.0642844222124286	6
PLEKHA7	-1.90338271504231	0.00063135026574869	0.0646675174476939	6
PRR13	2.15801956514576	0.000636487131616588	0.0646675174476939	6
ADM	3.03583964199666	0.000640242829419774	0.0646675174476939	6
ARMC2	7.78782608389633	0.000651511133405308	0.0646675174476939	6
R3HDM4	7.78782608389633	0.000651511133405308	0.0646675174476939	6
PPIL2	-1.21010784926088	0.000665100375328046	0.0653427185067187	6
ACSS3	-1.53051948504248	0.000706682654162491	0.0681195987669301	6
MRPS9	8.08327956389235	0.00070925594902789	0.0681195987669301	6
SH3GLB2	8.10932129137911	0.000714590722420019	0.0681195987669301	6
MAT2B	1.75519133968745	0.000732101112137147	0.0691046030162397	6
FUS	1.14081706940027	0.000782038107301737	0.0731015815252536	6
TGOLN2	-1.06281343023997	0.000885572233851162	0.0819161995280122	6
SULF2	1.7026815160573	0.000893352819946124	0.0819161995280122	6
AQP9	1.32660881033014	0.000906623498836834	0.0823487834603872	6
LRP5	2.199518527697	0.000919872381693611	0.0827713204761317	6
TNFSF13B	2.02779688853254	0.000949506140370528	0.0846467140693282	6
ZBTB8OS	3.03324857717205	0.000974910688889983	0.086114129473695	6
PECAM1	1.96894854475638	0.00101702433200484	0.0884163878076155	6
FGF11	-7.97369505582067	0.00101934140492785	0.0884163878076155	6
EPB41L5	-1.7217359016552	0.00104466032252785	0.089803478440162	6
TOGARAM1	-2.99660597969497	0.00106049300701803	0.0900417628112242	6
FDX1	1.45489194255633	0.00107162503670916	0.0900417628112242	6
AAMP	1.39996172290594	0.00107548844238583	0.0900417628112242	6
PRND	-7.99400633998783	0.00110598048730538	0.0916157834339041	6
PARP14	1.60735005095935	0.00111332017675185	0.0916157834339041	6
PLEKHA5	-1.44011862810437	0.00113410066091314	0.0925349251124724	6
DYSF	2.40488858558485	0.00120246079666963	0.0972881726918924	6
VAPA	1.34362510789776	0.00123588047145073	0.0991588098260633	6
GBP5	2.92996529026676	0.00126294504520448	0.0997206162751571	6
FSCN1	2.11745119223139	0.00126359733958965	0.0997206162751571	6
IFIT2	2.16212941018758	0.00128460351107182	0.100554167517069	6
ALOX5AP	7.98990052886179	0.00131087888351108	0.100861278899527	6
KLHDC8A	2.18558941729429	0.00131768067621843	0.100861278899527	6
OASL	2.04566432135251	0.00131995441850232	0.100861278899527	6
LAP3	1.74659337166555	0.00134251683437589	0.101777575443866	6
RLF	-2.94742082798311	0.0014726948372941	0.110774264792716	6
ATG3	1.64327406678965	0.00149508756386761	0.111586845464475	6
PLD3	-1.28717789515474	0.00151731768571188	0.112374882138723	6
AICDA	1.58842252724482	0.00158230910137327	0.11629367960322	6
DQX1	7.61103774910105	0.00162177110325003	0.116525464045458	6
GRAMD4	7.61103774910105	0.00162177110325003	0.116525464045458	6
MAP1LC3A	7.61103774910105	0.00162177110325003	0.116525464045458	6
PNPT1	1.7545599196525	0.00163451298950723	0.11657104491093	6
ITFG1	1.54277274682479	0.00173031943088924	0.117161773034769	6
NAGK	1.56574612790986	0.00176946375320926	0.117161773034769	6
MALL	-7.5784024389492	0.00177242434021408	0.117161773034769	6
SLC35D2	-7.5784024389492	0.00177242434021408	0.117161773034769	6
ENC1	-1.72822194143958	0.00177368406714579	0.117161773034769	6
NAPA	1.27274791741838	0.0017889868287667	0.117161773034769	6
CHN1	7.60452789926548	0.00183669849358925	0.117161773034769	6
GPSM2	7.60452789926548	0.00183669849358925	0.117161773034769	6
