gene	log2FC	p	padj	n
EXT2	19.8777777777778	0.00011364222997226	0.652975320420781	17
ANKLE2	-12.3212962962963	0.000174590403079256	0.652975320420781	17
PDE5A	-7.98472222222222	0.000194207272421502	0.652975320420781	17
TMEM248	-43.325	0.000197318220267668	0.652975320420781	17
SERINC3	124.244097222222	0.000361652224567188	0.791592001516551	17
PPP1R9A	9.83333333333333	0.000396152154065929	0.791592001516551	17
KDM5A	61.9180555555556	0.000418610259924141	0.791592001516551	17
CELF2	79.3777777777778	0.000794971580181919	0.909919478122025	17
SYNC	26.8986111111111	0.00104469989208116	0.909919478122025	17
RGS17	-13.4472222222222	0.00108557670144807	0.909919478122025	17
TMBIM4	106.218055555556	0.00108592553353521	0.909919478122025	17
GLB1L	23.1152777777778	0.00118233928756857	0.909919478122025	17
MINA	18.7958333333333	0.00138388643275557	0.909919478122025	17
SCRN1	86.8055555555556	0.00141854924649176	0.909919478122025	17
RBM28	-20.0263888888889	0.00171259278020774	0.909919478122025	17
DNAJB14	48.0083333333333	0.00172208967309739	0.909919478122025	17
PKN2	37.2782407407407	0.00173619713133972	0.909919478122025	17
FUS	-22.6393518518519	0.00184508638156768	0.909919478122025	17
NR1D2	59.3625	0.00187943635132862	0.909919478122025	17
MED17	-17.4319444444445	0.00213022233555444	0.909919478122025	17
ACTG2	-57.7875	0.00217315763220435	0.909919478122025	17
FEZ2	70.6967592592593	0.00235875258516618	0.909919478122025	17
LOC101930405	-12.9513888888889	0.00247940535748368	0.909919478122025	17
RAB29	20.3243055555556	0.00266594290316645	0.909919478122025	17
CHRDL1	226.598611111111	0.00280804491078801	0.909919478122025	17
GTPBP6	13.6722222222222	0.00296629410984167	0.909919478122025	17
POLA1	-8.90555555555556	0.00299635469070405	0.909919478122025	17
ACTA2	-257.063888888889	0.00305158721794385	0.909919478122025	17
MYH11	-151.654513888889	0.00313122307309889	0.909919478122025	17
RUFY2	-22.8	0.00321920071451139	0.909919478122025	17
SULT2B1	-14.1375	0.00327920192107193	0.909919478122025	17
NUS1	-14.8416666666667	0.00330267028183339	0.909919478122025	17
CLCN3	23.8125	0.00339618135424123	0.909919478122025	17
UCHL1	98.1138888888889	0.00341444009567594	0.909919478122025	17
SCAI	9.55	0.0035099910432339	0.909919478122025	17
FAM63A	61.85	0.0036221650823049	0.909919478122025	17
TST	75.3388888888889	0.00379261431917886	0.909919478122025	17
GSTM2	128.177777777778	0.00390665107201178	0.909919478122025	17
CRABP1	-6.57638888888889	0.00413204568001857	0.909919478122025	17
CACNA1G	-4.71277777777778	0.00426938323715572	0.909919478122025	17
PLN	-36.9638888888889	0.00435274828085873	0.909919478122025	17
SREBF1	-39.7541666666667	0.00435924203979887	0.909919478122025	17
LOC102725271	23.2513888888889	0.00441936412138279	0.909919478122025	17
FAM49A	-19.5118055555556	0.00461017044256654	0.909919478122025	17
SSPN	59.2479166666667	0.00476667361870074	0.909919478122025	17
VPS4B	79.6375	0.00482997011528859	0.909919478122025	17
OSR2	-25.9569444444445	0.00483581362194443	0.909919478122025	17
SCAF11	57.4958333333333	0.00483790469466326	0.909919478122025	17
ME1	49.0555555555556	0.00499800027429105	0.909919478122025	17
TSR1	-15.7583333333333	0.00541099213659629	0.909919478122025	17
