GSE id,Disease + tissue,Platform,Data type found,Comparison (n vs n),SRP id,Verdict
GSE207000,Adenomyosis / endometrium,RNA-seq,raw counts,3 v 3,SRP383569,"ANALYSED - DESeq2; EGR1 knockdown in eutopic MSCs, strong knockdown signature (5049 DEGs)"
GSE262302,Adenomyosis / plasma exosomes,RNA-seq,raw counts,8 v 8,SRP498967,"ANALYSED - DESeq2; plasma exosomes miRNA profile, low signal (7 DEGs)"
GSE316028,Endometriosis / endometrial stromal cells,RNA-seq,raw counts,3 v 3,SRP568341,"ANALYSED - DESeq2; PC knockdown in immortalized ESCs, very strong signature (4643 DEGs)"
GSE40007,Endometriosis / endometrial stromal cells,Microarray,microarray intensities,3 v 3,- (no SRP),"ANALYSED - limma; TNFa stimulated ESCs, low response (2 DEGs)"
GSE44207,Endometriosis / endometrial stromal cells,Microarray,microarray intensities,4 v 4,- (no SRP),"ANALYSED - limma; VPA treatment of primary ESCs, massive chromatin remodeling response (3895 DEGs)"
GSE47360,Endometriosis / endometrial stromal cells,Microarray,microarray intensities,6 v 3,- (no SRP),"ANALYSED - limma; ESC case vs control, no independent signal (flag weak)"
GSE56854,Endometriosis / endometrial stromal cells,Microarray,microarray intensities,4 v 4,- (no SRP),"ANALYSED - limma; miR-210 overexpression in ESCs, strong response (1130 DEGs)"
GSE75425,Endometriosis / endometrial stromal cells,Microarray,microarray intensities,4 v 4,- (no SRP),"ANALYSED - limma; decidualized ESC cAMP/dienogest vs FBS, moderate signature (6 DEGs)"
GSE51981,Endometriosis / endometrium,Microarray,microarray intensities,77 v 71,- (no SRP),"ANALYSED - limma; bulk endometrium case vs control, massive diagnostic transcriptomic signature (8476 DEGs)"
GSE6364,Endometriosis / endometrium (eutopic),Microarray,microarray intensities,21 v 16,- (no SRP),"ANALYSED - limma; secretory phase endometrium, zero sig genes (flag weak)"
GSE286315,PCOS / endometrial stromal cells,RNA-seq,raw counts,3 v 3,SRP518602,"ANALYSED - DESeq2; HOXC4 knockdown in endometriotic stromal cells, moderate signature (82 DEGs)"
GSE102293,PCOS / granulosa,Microarray,microarray intensities,2 v 4,- (no SRP),"ANALYSED - limma; granulosa cells, small sample size (2 v 4) yields zero sig (flag weak)"
GSE106724,PCOS / granulosa,Microarray,microarray intensities,4 v 4,- (no SRP),"ANALYSED - limma; PCOS hyperandrogenism in granulosa, strong signature (1088 DEGs)"
GSE114419,PCOS / granulosa,Microarray,microarray intensities,3 v 3,- (no SRP),"ANALYSED - limma; granulosa cells, small sample size (3 v 3), zero sig (flag weak)"
GSE137684,PCOS / granulosa,Microarray,microarray intensities,4 v 4,- (no SRP),"ANALYSED - limma; normoandrogenic PCOS in granulosa, zero sig (flag weak)"
GSE34526,PCOS / granulosa (whole-gc),Microarray,microarray intensities,7 v 3,- (no SRP),"ANALYSED - limma; granulosa cells PCOS vs control, zero sig (flag weak)"
GSE6798,PCOS / skeletal muscle,Microarray,microarray intensities,16 v 13,- (no SRP),"ANALYSED - limma; skeletal muscle, low signal (21 DEGs)"
GSE8157,PCOS / skeletal muscle,Microarray,microarray intensities,10 v 13,- (no SRP),"ANALYSED - limma; skeletal muscle PCOS vs control, strong signature (1723 DEGs)"
GSE199225,PCOS / skeletal muscle (vastus),RNA-seq,raw counts (recount3),24 v 25,SRP365287,"ANALYSED - DESeq2; vastus skeletal muscle, robust differential response (995 DEGs)"
