gene	degree	betweenness
H1-4	0	0
EMP2	0	0
MELK	0	0
ZNF521	0	0
SEMA6B	0	0
SERPINE2	0	0
ADAMTS6	0	0
EPAS1	0	0
MSRB3	0	0
NRM	0	0
ITGB8	0	0
EFR3B	0	0
YOD1	0	0
ZFHX3-AS1	0	0
GRIK2	0	0
LINC01204	0	0
PKD1L1	0	0
GCNT4	0	0
SORBS1	0	0
KSR1	0	0
CHRDL1	0	0
FBXO43	0	0
LASP1NB	0	0
RSPH4A	0	0
CFAP54	0	0
NFATC2	0	0
VEGFA	0	0
SNAI1	0	0
FANCI	0	0
PLK1	0	0
KBTBD8	0	0
CGNL1	0	0
IGFBPL1	0	0
ASF1B	0	0
H2BC10	0	0
LOXL1	0	0
ZNF789	0	0
WDHD1	0	0
SEMA3C	0	0
SYNGR2	0	0
MTBP	0	0
NPAS4	0	0
SLC68A1	0	0
GADD45B	0	0
BRCA1	0	0
BOLA3	0	0
GPR75	0	0
ABCA10	0	0
TG	0	0
RGCC	0	0
SETD7	0	0
KNL1	0	0
PAQR5	0	0
PDGFB	0	0
PPP1R3E	0	0
TIAM1	0	0
DTYMK	0	0
OCLN	0	0
COL10A1	0	0
RAD51	0	0
CCNB2	0	0
PAQR4	0	0
SKA3	0	0
ZNF408	0	0
HTR1D	0	0
NOX4P1	0	0
DERA	0	0
RGS4	0	0
COL25A1	0	0
MRAP-AS1	0	0
MCM4	0	0
RNASEH2A	0	0
SFRP4	0	0
KCNH5	0	0
TRIM73	0	0
POLR1HASP	0	0
STK33	0	0
KIF24	0	0
S100A4	0	0
PLXDC2	0	0
HYLS1	0	0
FLVCR1	0	0
CDCA8	0	0
LOC101927727	0	0
SHC4	0	0
TM4SF1	0	0
FAM227A	0	0
SLC25A35	0	0
CHAC1	0	0
MYL7	0	0
DNAH7	0	0
CAPN6	0	0
PRDM2	0	0
ERP27	0	0
MTSS1	0	0
ST6GALNAC5	0	0
STEAP1B	0	0
ZNF678	0	0
LINC00339	0	0
LOC283299	0	0
DUSP19	0	0
GOLGA6L3P	0	0
FAM24B	0	0
GABRR2	0	0
GPR183	0	0
LRATD2	0	0
NCAPH2	0	0
TNIK	0	0
FAM167A	0	0
P3H2	0	0
RPL39L	0	0
SYNPO2	0	0
CEBPD	0	0
UHRF1	0	0
H2BC14	0	0
ARHGAP11A	0	0
CDK1	0	0
ZNF488	0	0
LBR	0	0
ADPRH	0	0
HUNK	0	0
PRELP	0	0
GCH1	0	0
ITGB3BP	0	0
MAFG	0	0
ALKAL1	0	0
H3C14	0	0
H2BC18	0	0
GPR137C	0	0
SLC27A2	0	0
SPAG5	0	0
CENPK	0	0
CCDC190	0	0
EVI2B	0	0
IL24	0	0
IL20	0	0
CLSPN	0	0
PRC1	0	0
EREG	0	0
IQGAP3	0	0
ZNF730	0	0
PMEPA1	0	0
KANSL1L	0	0
SESN2	0	0
F2R	0	0
ITGB1BP2	0	0
PASK	0	0
RN7SL144P	0	0
ATRNL1	0	0
BMP4	0	0
PRECSIT	0	0
DLGAP5	0	0
IL33	0	0
ANLN	0	0
PLS1	0	0
FIBIN	0	0
RN7SL600P	0	0
CEMIP2	0	0
AQP1	0	0
CLIC3	0	0
CDK7	0	0
CCNB1	0	0
PTX3	0	0
RIBC2	0	0
OIP5	0	0
LGALS9	0	0
H1-2	0	0
ZNF804A	0	0
GTSE1	0	0
GINS4	0	0
GNG12	0	0
SLC6A16	0	0
ERRFI1	0	0
LOC124902477	0	0
LITAF	0	0
OAT	0	0
SPATA17	0	0
SCHIP1	0	0
LIPG	0	0
ADAMTS13	0	0
ZNF208	0	0
PAPPA-AS1	0	0
MPZL3	0	0
CHAF1A	0	0
GSTA1	0	0
DNAJC22	0	0
KIF15	0	0
SPDYA	0	0
ARL4D	0	0
LOC100420114	0	0
CENPF	0	0
ADRA1B	0	0
UBE2C	0	0
FLT1	0	0
TXNIP	0	0
MECOM	0	0
CENPA	0	0
CAMK4	0	0
TMEM92	0	0
NIPAL4	0	0
H3C1	0	0
MALL	0	0
H2BC9	0	0
NUDT16L1	0	0
MCM10	0	0
GINS2	0	0
ZNF726	0	0
GREM1-AS1	0	0
SMC4	0	0
CENPW	0	0
H2BC7	0	0
C21orf58	0	0
KIF11	0	0
DEPDC1B	0	0
UBE2Q2P6	0	0
NUF2	0	0
CMSS1	0	0
ITGB3	0	0
HRK	0	0
ABCA1	0	0
MIR22HG	0	0
SPECC1L-ADORA2A	0	0
TENT5C	0	0
POC1A	0	0
ARHGAP20	0	0
H2AC17	0	0
ADM2	0	0
ROS1	0	0
RGS2	0	0
CCDC146	0	0
TFAP4	0	0
PCDH10-DT	0	0
KRT34	0	0
ASB5	0	0
RIC1	0	0
TNFAIP6	0	0
H4C4	0	0
H2BC5	0	0
CD109-AS1	0	0
IPO8P1	0	0
UPP1	0	0
BDNF	0	0
LOC107984948	0	0
PPP1R18	0	0
MHENCR	0	0
GRHL1	0	0
FOXF1	0	0
CSPG5	0	0
EGF	0	0
OR5P2	0	0
RBL1	0	0
SLC29A4	0	0
LIMS4	0	0
NPHP3-ACAD11	0	0
RHEBL1	0	0
YY2	0	0
CYBRD1	0	0
TPM1	0	0
PBK	0	0
SCARA3	0	0
ACP3	0	0
RAB7B	0	0
HK2	0	0
H2AC12	0	0
PCSK5	0	0
VCAN	0	0
CA12	0	0
H2AC15	0	0
H4C14	0	0
NLRP10	0	0
SULT1C4	0	0
RIMOC1	0	0
RGMB	0	0
MGP	0	0
CYB5A	0	0
MAPK14	0	0
ABCB1	0	0
ANKRD34B	0	0
DTL	0	0
ITIH5	0	0
MIAT	0	0
PRKAR2B	0	0
C11orf68	0	0
HTR1B	0	0
GJA5	0	0
TMEM97	0	0
PCDH10	0	0
ZGRF1	0	0
HES4	0	0
TPX2	0	0
ABCG4	0	0
ZNF630	0	0
LOC124900414	0	0
SH2D4A	0	0
DEPDC1	0	0
CCDC15	0	0
TGFBI	0	0
RPL31P46	0	0
TCIM	0	0
PM20D2	0	0
RFXAP	0	0
RFC3	0	0
PITPNA-AS1	0	0
ARRDC3	0	0
LINC00994	0	0
FAM83D	0	0
PLCL1	0	0
INHBE	0	0
ACVR2B	0	0
PCDH19	0	0
EFNB2	0	0
KLHL23	0	0
STK38L	0	0
MSC	0	0
PLPP3	0	0
ALDH1B1	0	0
DGKI	0	0
VIT	0	0
LINC02015	0	0
MCM6	0	0
TMEM263	0	0
SCN1A	0	0
H2AC21	0	0
PDLIM5	0	0
FEN1	0	0
BRCA2	0	0
ZFP36L1	0	0
ANKRD46	0	0
FAM66B	0	0
GVINP1	0	0
WDR76	0	0
FZD5	0	0
LTBP1	0	0
MAP7	0	0
S1PR1	0	0
AGFG2	0	0
H4C13	0	0
BORA	0	0
H2AC7	0	0
SLC20A1	0	0
PLEKHH1	0	0
CEP72	0	0
LCE2A	0	0
ADAM32	0	0
TAFA2	0	0
C5orf46	0	0
ZBED2	0	0
ARHGAP33	0	0
SYTL2	0	0
SIK1	0	0
EFHD1	0	0
MCM3	0	0
SLIT2	0	0
CDH8	0	0
S1PR3	0	0
HJURP	0	0
SPC25	0	0
TMEM119	0	0
SGO2	0	0
PKMYT1	0	0
PKD1L2	0	0
MX1	0	0
XRCC3	0	0
TMPO-AS1	0	0
ZNF620	0	0
H3C7	0	0
BPESC1	0	0
RSAD2	0	0
PCNA	0	0
KIF14	0	0
NCAM2	0	0
RN7SL473P	0	0
KIF18B	0	0
BMP2	0	0
NRSN2	0	0
FLRT3	0	0
RRM2	0	0
HPSE	0	0
COQ2	0	0
