gene	degree	betweenness
CTAG1A	0	0
EME2	0	0
ADAM21	0	0
1569150_x_at	0	0
CUST_58132_PI429545399	0	0
HAGHL	0	0
MCF2L-AS1	0	0
TC10001625.hg.1	0	0
239275_at	0	0
ATRNL1	0	0
CNTNAP2	0	0
CUST_82973_PI429545402	0	0
TC07003217.hg.1	0	0
KLHL35	0	0
PLBD2	0	0
AP1M2	0	0
MYH11	0	0
201325_s_at	0	0
A_33_P3314574	0	0
RP11-334J6.6	0	0
TC0X000450.hg.1	0	0
XLOC_008405	0	0
TPPP3	0	0
1560784_x_at	0	0
CUST_85932_PI429545406	0	0
CXorf58	0	0
TC07000694.hg.1	0	0
TYW1	0	0
RIMBP3	0	0
MAP3K6	0	0
FBXL15	0	0
215049_x_at	0	0
A_32_P223173	0	0
JDP2	0	0
TC14001839.hg.1	0	0
ZNF800	0	0
206825_at	0	0
CUST_35892_PI429545380	0	0
LOC100130285	0	0
NBLA00301	0	0
TC08000568.hg.1	0	0
C21orf49	0	0
WDR64	0	0
PVRL1	0	0
1558397_at	0	0
A_24_P65060	0	0
SLC2A1-AS1	0	0
TC19000292.hg.1	0	0
TMC5	0	0
CHCHD5	0	0
HDAC10	0	0
PCDH1	0	0
1563742_at	0	0
CUST_56128_PI429545402	0	0
DEFB105B	0	0
TC01001389.hg.1	0	0
XRCC5	0	0
EIF2AK2	0	0
ARAF	0	0
206710_s_at	0	0
A_33_P3325497	0	0
RPL22P22	0	0
SPRR2C	0	0
TC12002778.hg.1	0	0
COL8A1	0	0
GPX3	0	0
UBQLN1	0	0
237407_at	0	0
C1D	0	0
CUST_69690_PI429545376	0	0
LOC643669	0	0
TC01001391.hg.1	0	0
HMBS	0	0
C14orf142	0	0
GLUL	0	0
204438_at	0	0
ADCY4	0	0
AFF3	0	0
CUST_43637_PI429545384	0	0
TC11000296.hg.1	0	0
YPEL1	0	0
TYW3	0	0
AFF1	0	0
ASPRV1	0	0
1569871_at	0	0
CUST_76104_PI429545410	0	0
LOC283483	0	0
SMC2	0	0
TC01001393.hg.1	0	0
SPINK6	0	0
CRIP3	0	0
1559911_at	0	0
CUST_7759_PI429545384	0	0
TC02003914.hg.1	0	0
TPR	0	0
XLOC_011769	0	0
TP53I11	0	0
PEAR1	0	0
SP4	0	0
DCN	0	0
 
