gene	degree	betweenness
RNVU1-7	0	0
SNORA80B	0	0
SNORD94	0	0
LINC01614	0	0
LINC02610	0	0
SLC49A3	0	0
SNORA26	0	0
CRACD	0	0
JCHAIN	0	0
PURPL	0	0
LINC02057	0	0
RN7SL174P	0	0
VTRNA1-1	0	0
RNA5SP202	0	0
CCDC28A-AS1	0	0
SNORA20	0	0
TYW1B	0	0
RNY4	0	0
NKX2-6	0	0
SCARNA8	0	0
SNORA54	0	0
LINC02449	0	0
SNORA2C	0	0
SNORA2A	0	0
COXFA4L2	0	0
PTPRQ	0	0
RFLNA	0	0
PKD1P4	0	0
SNORA46	0	0
LOC101927793	0	0
RN7SL33P	0	0
KRT17	0	0
SCARNA20	0	0
LOC400627	0	0
RNU6-2	0	0
CEACAM16-AS1	0	0
RN7SL836P	0	0
CCDC188	0	0
RN7SL280P	0	0
RN7SL263P	0	0
NHIP	0	0
CIMAP1B	0	0
SNORA80A	0	0
VSIG1	0	0
VN1R5	0	0
BC032899	0	0
NFYC-AS1	0	0
GLRA2	0	0
ARL5C	0	0
RP4-539M6.14	0	0
LAMB2P1	0	0
LOC283482	0	0
 
