gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
MADD	-0.0170718767192102	0.853184114076627	0.917003584855691	1	DOWN
MAST2	0.284453219962843	2.78907336230706e-05	0.000160705339548243	1	UP
ZNF32	-0.259494696068414	0.154165659979133	0.28761269718028	1	DOWN
GAN	0.647125351380099	2.25399190313315e-16	3.96258357569065e-15	1	UP
LDB2	-0.313834276338657	0.0751546744561973	0.164604455981586	1	DOWN
NQO1-AS1	0.303837191436396	0.620999188719055	0.76102945015087	1	UP
H1-4	-1.21441254193901	3.22367301548374e-43	1.83406687979352e-41	1	DOWN
PXK	-0.260843753566719	0.0105972907140144	0.032715541146811	1	DOWN
RN7SL220P	-0.217517022719319	0.488143276834421	0.651052929721663	1	DOWN
PDHB	0.40953259376894	0.000286620965520541	0.00134785537674498	1	UP
MRPL49	-0.381709299174006	0.327202667217062	0.49657925668226	1	DOWN
MISP3	-0.0881316040450946	0.886448533509821	0.936511380620488	1	DOWN
CDC42EP2	-0.132827120944244	0.274707842673068	0.438797726812038	1	DOWN
RGPD6	0.508099039086556	0.000442406970224699	0.00199213895208933	1	UP
ATP6V1E2	-0.385385281336554	0.295739117944872	0.462424366308304	1	DOWN
KLHL17	0.205132486287978	0.255055774201484	0.416428764318794	1	UP
NTAN1P2	-0.23926418520733	0.699782850178139	0.820159121486155	1	DOWN
KIF26B	0.326291678594384	0.317338930872253	0.485612608281904	1	UP
SEPTIN5	0.343666036827798	0.104062729327294	0.213217367750479	1	UP
EIF4ENIF1	0.000972010723891876	0.991952505615226	0.995492041117072	1	UP
TRIM46	0.249319953112009	0.150541561396545	0.282455998927742	1	UP
KRTCAP2	0.207886330871532	0.182361095335239	0.326110653222316	1	UP
ARPC2	-0.0265502286190739	0.800282349125579	0.883219812678612	1	DOWN
CCT3	0.133833308927039	0.125834256715978	0.246566894074929	1	UP
NFIA	-0.979766803236656	1.21610621045634e-09	1.24549616210521e-08	1	DOWN
SLC39A9	0.377180671696909	2.01971853899996e-06	1.41579468923406e-05	1	UP
BCLAF1	-0.120130080390777	0.42195887471944	0.59063615832726	1	DOWN
ATXN2L	-0.00476396527254094	0.962796365797434	0.978436728701738	1	DOWN
ACTR1B	-0.299561936395137	0.00105564108161323	0.00434369853940569	1	DOWN
EMP2	-2.10398786430048	9.93757969853421e-39	4.58811387295584e-37	1	DOWN
KCTD11	-0.164331635517305	0.277581621688552	0.442361272057925	1	DOWN
CPNE7	0.103254739138387	0.413176217148154	0.582404361491219	1	UP
SZRD1	-0.0961433730222418	0.857766192467264	0.919615253607511	1	DOWN
LRP5	0.475402819340459	1.87035612482234e-10	2.06482172343832e-09	1	UP
RTKN2	0.455948079408725	0.00467839399589974	0.0161354347576962	1	UP
PNMA8A	0.18671666749822	0.2843758004903	0.449963002452804	1	UP
ELAPOR2	0.369409482312118	0.0873466942383367	0.185733825550059	1	UP
MIOS	-0.665075384667558	0.00231106515357353	0.00870852738834187	1	DOWN
MOB1A	0.00108156912731254	0.986324987167941	0.992437152873132	1	UP
RN7SKP253	0.80669779676962	0.234139918886923	0.39206905768655	1	UP
MAML1	0.210370246127534	0.00969968747806915	0.0303201781842045	1	UP
INVS	-0.326550743245076	0.00331426072663822	0.0118903628998632	1	DOWN
MELK	-2.00862165713593	1.14873925890152e-76	1.67681121519049e-74	1	DOWN
SLITRK5	-0.565881562147399	0.00852298487377214	0.0272550684688828	1	DOWN
MYL12A	0.551994866380739	2.45733991499151e-08	2.183949514855e-07	1	UP
MYOM1	0.301903412728582	0.647801111687213	0.783462076929159	1	UP
ZNF778	1.68348929304102	0.0598246725793	0.136835445306025	1	UP
CNOT7	0.155073423696265	0.0976222039416026	0.203013162924176	1	UP
TMEM184B	-0.0881469801421602	0.705548864181529	0.82317831715544	1	DOWN
MTOR	0.127407135595442	0.0536513153112447	0.125577446965144	1	UP
SCAMP5	0.0871357830894521	0.870896213989617	0.927956204858912	1	UP
ZNF521	1.96240767325516	6.80544461801911e-10	7.10588729588108e-09	1	UP
ALPK2	0.100423868089133	0.051797958204911	0.122169462056336	1	UP
KLHDC1	0.135910041008317	0.560106420559925	0.712320503697217	1	UP
DRAP1	-0.0187779909453922	0.880343085225311	0.933301879876089	1	DOWN
MCMBP	-0.361585337869527	0.000364767438866416	0.00167467397187044	1	DOWN
FAM171A2	0.336584628924206	0.43290120811458	0.601871787421955	1	UP
KLHL20	0.36973826076045	0.000611050306784795	0.00267422410155877	1	UP
TOB2	-0.253146993719552	0.00203432855605834	0.00777521342597172	1	DOWN
SEMA6B	-4.46957844935812	0.00161713716615827	0.00633828293684653	1	DOWN
MOCS3	-0.150934690273194	0.396359255897149	0.567220004651386	1	DOWN
STAU1	-0.0889701401040428	0.212009478621932	0.364515047658006	1	DOWN
CDH26	0.296734323760972	0.51406254063891	0.674234686401605	1	UP
ZNF444	0.0267673952073735	0.911850577550207	0.950458215246541	1	UP
MISFA	0.147754912112332	0.801787645440037	0.884003453441213	1	UP
RPL26	-0.136873389974656	0.452365263645797	0.620456570325115	1	DOWN
VCPIP1	-0.329485445463616	5.5447193916252e-05	0.000301455003492761	1	DOWN
UBE2J2	0.0226383112896762	0.869667177650649	0.927358351846925	1	UP
TBC1D23	0.05014717310103	0.81768267278621	0.894228265811527	1	UP
LYL1	0.442996124123035	0.356878884760898	0.527462732423355	1	UP
HS3ST1	-0.0954620818445465	0.890615950632534	0.938598240485922	1	DOWN
CD99	0.277429291245692	0.215902342129862	0.368894081696436	1	UP
RPS27	0.285859331367283	0.11295495587417	0.227214931422276	1	UP
BET1L	-0.0993701244824364	0.284307322307783	0.449953467820586	1	DOWN
RPL23A	-0.136617508195644	0.0924128867254087	0.194305052534393	1	DOWN
SLC29A3	0.133597989344754	0.630034915949936	0.768193939452626	1	UP
ITM2C	0.278932527616566	0.0112681010453895	0.0345209514960618	1	UP
HTR2B	0.0823670259941914	0.189506980855629	0.335773097148687	1	UP
USP37	-0.16320721014765	0.114733594944738	0.229960496608379	1	DOWN
TTLL4	-0.0210610379612145	0.863878515179897	0.923366007608335	1	DOWN
HECTD1	-0.0927135810490178	0.13399200742045	0.257978590185653	1	DOWN
PEX3	-0.373491922195089	0.00295892954699911	0.010803307449137	1	DOWN
SERPINE2	2.15698928124587	1.68580816597631e-55	1.45877926985172e-53	1	UP
PSMG3-AS1	-0.691007552616642	0.0733010554827901	0.161277946525853	1	DOWN
EID2	-0.147995925886392	0.252273067607344	0.412799900086953	1	DOWN
CRLF3	0.106386522597357	0.420274729902493	0.589249065860185	1	UP
RNPEP	0.123996541138422	0.281348251035895	0.446656755165625	1	UP
DMRTA1	-0.524659755510947	0.339546001078873	0.509471601159194	1	DOWN
NUFIP1	0.123159237794385	0.347194778733718	0.516928883935809	1	UP
CPEB2-DT	0.643167606764618	0.356557967861623	0.527324993670357	1	UP
MTND4P12	0.705354945141011	2.81206514465373e-06	1.92593144101379e-05	1	UP
DHRS13	-0.11956860740448	0.763906156961816	0.860354444256504	1	DOWN
CACNB3	-0.162863874433542	0.0891591634046366	0.188804491778089	1	DOWN
PSMC1P1	-0.200128669712161	0.00904970368493021	0.0286289991136004	1	DOWN
ADAMTS6	1.12539787641209	2.18683867344868e-52	1.73637393791247e-50	1	UP
TMEM80	-0.146688461868909	0.435564174446144	0.604527265167233	1	DOWN
DDX10P1	0.157672438945071	0.746869735809083	0.850379337549406	1	UP
TEP1	0.01892709493407	0.877859126082902	0.932104498973109	1	UP
SIX5	-0.213744763736522	0.271806526626978	0.435704505411698	1	DOWN
TOB1	-0.0784077412405075	0.2729877921144	0.436774422480646	1	DOWN
ZFAND4	0.0885984007483821	0.683112220880445	0.808026086923411	1	UP
LINC02593	-0.944459880721101	0.0647888908807608	0.146063067413085	1	DOWN
LINC00205	-0.0145282935905568	0.945624916524925	0.968546719732206	1	DOWN
ABI1	-0.00308827320719145	0.97064650105723	0.982682680872778	1	DOWN
YME1L1	-0.024759823858219	0.818404146509031	0.894722502355577	1	DOWN
ZNF436-AS1	-0.326181542962215	0.653941459661791	0.787676462878347	1	DOWN
ARID3A	0.574736302638026	9.30825582010652e-10	9.61498247722368e-09	1	UP
EPAS1	-1.6640173354332	1.92147694289759e-131	8.16684214759208e-129	1	DOWN
PURB	0.193363955615166	0.00192446701102052	0.00741019791533641	1	UP
MAGED4B	0.311941780894015	0.238802475609135	0.397298477438131	1	UP
RPL23P6	-0.427951905161984	0.403277786079773	0.574277422806346	1	DOWN
BCAM	0.469449460877263	0.00339253195151906	0.0121470463903374	1	UP
LOC124905564	0.420997562390065	0.000168030686362925	0.000830909653346891	1	UP
MSRB3	1.13694261407534	0.0101810638321281	0.0316197192001038	1	UP
MTCH1	0.243606506271989	1.44901286225959e-05	8.77238578655775e-05	1	UP
NRM	-1.17760825926989	6.33533983871861e-08	5.35382878797041e-07	1	DOWN
YBX3	0.68558873997404	3.98066678824799e-09	3.91057890937945e-08	1	UP
KLHL38	-0.63894450433427	0.257762928957959	0.419531095464553	1	DOWN
NPAS1	0.404105888368247	0.549634643179003	0.702775635160129	1	UP
HPS5	-0.0627092563472678	0.410975424899524	0.580644814358312	1	DOWN
SPIRE1	-0.075311398617295	0.279870445464137	0.445020236908128	1	DOWN
BTBD1	0.041921133456208	0.56187118709493	0.713672549961452	1	UP
HSD17B10	0.0958097459699361	0.362473454190671	0.532900941917819	1	UP
ZNF707	0.205466602636856	0.437969588678106	0.606700395512587	1	UP
PRPF38B	0.082732725160472	0.4074077656232	0.57844857742394	1	UP
GSTM1	0.0745306213772031	0.607637316908375	0.750231380605965	1	UP
TUBG2	0.0436845406912603	0.725518010490188	0.837416994376494	1	UP
ZCWPW1	0.279310298882753	0.536436027808425	0.691500870970797	1	UP
AP2S1	-0.0208185137952711	0.793635244637181	0.879202397887612	1	DOWN
ITGB8	-1.4536327162612	8.16077320466567e-06	5.15659525931892e-05	1	DOWN
PON2	0.369618929276744	8.94837776918375e-05	0.000467171268578303	1	UP
COPZ1	0.00661334317455939	0.935505823772751	0.963681631946494	1	UP
HBP1	0.0662197194835835	0.388151507768862	0.558404921729002	1	UP
GEMIN7	0.256043688233365	0.18535073841669	0.330353172281646	1	UP
MBTPS2	-0.146495022824163	0.0726793326712597	0.160227160401583	1	DOWN
SEMA3B	-0.935992052494997	1.09139886408962e-08	1.01753580548123e-07	1	DOWN
SMPD2	0.25584006248872	0.522085384767593	0.680679889505277	1	UP
EFR3B	1.1379980220132	0.00843523949205295	0.0269983711848632	1	UP
RPL31	0.0992017417481599	0.166464665042859	0.304628750401957	1	UP
METTL21C	1.45997314848952	0.0455245600669176	0.109939749862348	1	UP
YOD1	1.53021169477638	7.10850391122966e-98	1.77112051760655e-95	1	UP
CHM	0.033709154037404	0.703254729473684	0.821987180693612	1	UP
SMYD5	-0.615033764177962	7.56986934976833e-06	4.81267848541584e-05	1	DOWN
RAB11FIP5	0.225609611210761	0.138275327120901	0.264139689652894	1	UP
DYSF	0.388898404028279	3.14190862172915e-08	2.75007398501562e-07	1	UP
CCDC142	0.0169031546824891	0.931460728932269	0.96146707098573	1	UP
EBP	-0.179847056769716	0.438062953715473	0.606771565622764	1	DOWN
NCBP2	-0.5859508687612	0.052957373110398	0.124194579490159	1	DOWN
BRI3BP	-0.40419047329496	0.000258791586849201	0.00122857990195723	1	DOWN
MAD2L2	-0.201774470205257	0.292166237297454	0.459072990669295	1	DOWN
HDLBP	-0.0272236460402615	0.67170137996582	0.8002932345524	1	DOWN
ZFHX3-AS1	-1.01314437739532	0.000700918643990081	0.0030145759893752	1	DOWN
LOC124900372	0.0604466070200449	0.820991571812856	0.895880782622335	1	UP
KIF21B	0.644943559990524	0.261447989314238	0.423848428716632	1	UP
MEGF6	0.476317432458621	0.0268622068058633	0.0713314499359667	1	UP
COPS8-DT	-0.655404630104611	0.176036518271637	0.317472073573372	1	DOWN
AURKC	-0.276156785495609	0.716237826340572	0.830753096432106	1	DOWN
ANO7	-0.128250059063091	0.773911691975879	0.866296550847393	1	DOWN
GRIK2	2.94179106310372	0	0	1	UP
SLC35A1	-0.0211814802157278	0.956399532750236	0.974608959013727	1	DOWN
CGRRF1	0.598750805010856	0.00307073337203999	0.0111411418426688	1	UP
CCDC167	-0.0886881360803012	0.705009366188	0.822947524295864	1	DOWN
LRCH4	0.0758303617173971	0.480872711553909	0.645166795531106	1	UP
FAM76B	0.146002100135232	0.403135889090934	0.574131933897022	1	UP
