gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
-	1.13478318256536	0.981172587546609	1	1	UP
0	-0.611421100000001	1	1	1	DOWN
1-Dec	0.0876101927732696	1	1	1	UP
1-Mar	-1.98276697168054	0.469094467286181	1	1	DOWN
1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	0.732968874999999	1	1	1	UP
1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)	0.0225457499999984	1	1	1	UP
1-acylglycerol-3-phosphate O-acyltransferase 3	0.254769499999998	1	1	1	UP
1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)	0.331552999999999	1	1	1	UP
1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	-0.0771242750000007	1	1	1	DOWN
1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	0.245664974999999	1	1	1	UP
1-acylglycerol-3-phosphate O-acyltransferase 9	0.68825325	1	1	1	UP
1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	0.460835349999999	1	1	1	UP
1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like	0.2009895	1	1	1	UP
1/2-SBSRNA4	-0.6284931	1	1	1	DOWN
15 kDa selenoprotein	-0.803772625000003	1	1	1	DOWN
190 kDa guanine nucleotide exchange factor	0.186884749999998	1	1	1	UP
2',3'-cyclic nucleotide 3' phosphodiesterase	0.896140075	0.605678608570361	1	1	UP
2'-5'-oligoadenylate synthetase 1, 40/46kDa	-0.227972799999999	1	1	1	DOWN
2'-5'-oligoadenylate synthetase 2, 69/71kDa	-0.524031250000001	1	1	1	DOWN
2'-5'-oligoadenylate synthetase 3, 100kDa	0.394834475	1	1	1	UP
2'-5'-oligoadenylate synthetase-like	-0.339724150000001	1	1	1	DOWN
2,3-bisphosphoglycerate mutase	0.410374174999999	1	1	1	UP
2,4-dienoyl CoA reductase 1, mitochondrial	-0.537784750000001	1	1	1	DOWN
2,4-dienoyl CoA reductase 2, peroxisomal	-0.423894700000002	1	1	1	DOWN
2-Mar	-2.18261179544577	1	1	1	DOWN
2-aminoethanethiol (cysteamine) dioxygenase	0.686669399999999	1	1	1	UP
2-hydroxyacyl-CoA lyase 1	-0.612947025	1	1	1	DOWN
2-oxoglutarate and iron-dependent oxygenase domain containing 1	0.244576249999999	1	1	1	UP
2-oxoglutarate and iron-dependent oxygenase domain containing 2	-0.584295575	1	1	1	DOWN
24-dehydrocholesterol reductase	0.232211499999997	1	1	1	UP
3'(2'), 5'-bisphosphate nucleotidase 1	-0.170571225	1	1	1	DOWN
3'-phosphoadenosine 5'-phosphosulfate synthase 1	0.686097999999999	1	1	1	UP
3'-phosphoadenosine 5'-phosphosulfate synthase 2	0.766526999999997	1	1	1	UP
3-Mar	0.720420968479668	1	1	1	UP
3-hydroxy-3-methylglutaryl-CoA reductase	-0.273753250000002	1	1	1	DOWN
3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	-0.776122250000001	1	1	1	DOWN
3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	-0.62229765	1	1	1	DOWN
3-hydroxyanthranilate 3,4-dioxygenase	0.738793999999999	1	1	1	UP
3-hydroxybutyrate dehydrogenase, type 1	0.3950282	1	1	1	UP
3-hydroxybutyrate dehydrogenase, type 2	0.250931574999999	1	1	1	UP
3-hydroxyisobutyrate dehydrogenase	-0.140660875000003	1	1	1	DOWN
3-hydroxyisobutyryl-CoA hydrolase	-0.582990575	1	1	1	DOWN
3-hydroxymethyl-3-methylglutaryl-CoA lyase	-0.276012325	1	1	1	DOWN
3-hydroxymethyl-3-methylglutaryl-CoA lyase-like 1	0.179188524999999	1	1	1	UP
3-ketodihydrosphingosine reductase	0.500114949999999	1	1	1	UP
3-oxoacid CoA transferase 1	-0.0338169750000007	1	1	1	DOWN
3-oxoacid CoA transferase 2	-0.298067	1	1	1	DOWN
3-oxoacyl-ACP synthase, mitochondrial	-0.703148950000001	1	1	1	DOWN
3-phosphoinositide dependent protein kinase-1	0.676874449999999	1	1	1	UP
4-Mar	-0.28042126337683	1	1	1	DOWN
4-aminobutyrate aminotransferase	0.995059324999999	1	1	1	UP
4-hydroxy-2-oxoglutarate aldolase 1	-0.761635375000001	1	1	1	DOWN
4-hydroxyphenylpyruvate dioxygenase	-0.18730255	1	1	1	DOWN
4-hydroxyphenylpyruvate dioxygenase-like	0.129324224999999	1	1	1	UP
43891	-0.149925994000981	1	1	1	DOWN
43892	0.0681803090566857	1	1	1	UP
43893	-0.23870863695547	1	1	1	DOWN
43895	0.229077304483005	1	1	1	UP
43896	0.0555706911208099	1	1	1	UP
43897	-0.231856661453999	1	1	1	DOWN
43898	0.0679322252984395	1	1	1	UP
43899	0.425978431613048	1	1	1	UP
44089	-0.309069314612838	1	1	1	DOWN
5', 3'-nucleotidase, cytosolic	-0.344257250000001	1	1	1	DOWN
5',3'-nucleotidase, mitochondrial	-0.11184475	1	1	1	DOWN
5'-3' exoribonuclease 1	-0.427944	1	1	1	DOWN
5'-3' exoribonuclease 2	-0.37105	1	1	1	DOWN
5'-nucleotidase domain containing 1	-0.201934750000001	1	1	1	DOWN
5'-nucleotidase domain containing 2	0.580187374999999	1	1	1	UP
5'-nucleotidase domain containing 3	0.225039325	1	1	1	UP
5'-nucleotidase domain containing 4	0.45057935	1	1	1	UP
5'-nucleotidase, cytosolic IA	0.883520324999999	1	1	1	UP
5'-nucleotidase, cytosolic IB	-0.2433933	1	1	1	DOWN
5'-nucleotidase, cytosolic II	0.154185749999999	1	1	1	UP
5'-nucleotidase, cytosolic III	0.1409943	1	1	1	UP
5'-nucleotidase, cytosolic III-like	-0.164398250000001	1	1	1	DOWN
5'-nucleotidase, ecto (CD73)	0.594709749999999	1	1	1	UP
5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)	-0.56106975	1	1	1	DOWN
5-Mar	0.0104332839866279	1	1	1	UP
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	0.0187127249999996	1	1	1	UP
5-azacytidine induced 1	0.0161699749999998	1	1	1	UP
5-azacytidine induced 2	-0.421685375000001	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 1A	0.847337549999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 1B	-0.03804165	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 1D	-0.703247650000001	1	1	1	DOWN
5-hydroxytryptamine (serotonin) receptor 1E	0.602195749999999	1	1	1	UP
5-hydroxytryptamine (serotonin) receptor 1F	-0.0429692250000003	1	1	1	DOWN
