gene	meta_log2FC	meta_p	meta_padj	n_datasets	direction
MTND2P28	-0.0928810129788975	0.849307673514378	0.866675720891914	1	DOWN
MTCO1P12	-0.0441971712356739	0.730430581180282	0.776217047101749	1	DOWN
MTATP6P1	0.463498175926215	0.0229503868758209	0.573030224564621	1	UP
LINC01409	-0.038956778348781	0.863890674593925	0.878719647909162	1	DOWN
FAM87B	-0.409250805419134	0.2423463028728	0.679982864888903	1	DOWN
LINC01128	-1.57945447373705	0.541035204356781	0.68336653602222	3	DOWN
LINC02593	0.196606463170223	0.611960782189055	0.70724984484233	1	UP
SAMD11	21.3527619191643	0.157171011703111	0.679982864888903	3	UP
NOC2L	-3.18386152202925	0.354320204969733	0.679982864888903	3	DOWN
KLHL17	6.12066535504616	0.358472059495538	0.679982864888903	3	UP
PLEKHN1	9.46920073960644	0.531486496192943	0.68257366641039	3	UP
HES4	2.56053777460941	0.24889144365923	0.679982864888903	3	UP
ISG15	5.85908966367629	0.212666085359534	0.679982864888903	3	UP
AGRN	6.58968257063202	0.29965791284487	0.679982864888903	3	UP
C1orf159	-3.87713160001777	0.374161701581679	0.679982864888903	3	DOWN
TNFRSF18	9.70215678150321	0.409104649624928	0.679982864888903	3	UP
SDF4	-0.558091094054403	0.440824400091565	0.679982864888903	3	DOWN
B3GALT6	14.223594259824	0.00707784045117246	0.38852015304894	3	UP
C1QTNF12	0.879405796224255	0.00260643629470085	0.254664743160485	1	UP
UBE2J2	5.04656533445702	0.305091197549952	0.679982864888903	3	UP
SCNN1D	-0.92766222571635	0.32666655067438	0.679982864888903	3	DOWN
ACAP3	5.94410561403028	0.0586640360117853	0.679982864888903	3	UP
PUSL1	9.42477476382501	0.265842163214267	0.679982864888903	3	UP
INTS11	0.0392214795798989	0.450779099325898	0.679982864888903	1	UP
CPTP	-60.6688729282302	0.0755682030835623	0.679982864888903	3	DOWN
TAS1R3	0.453714628234751	0.0515427222772786	0.679982864888903	1	UP
DVL1	-58.9000653297939	0.210371244329075	0.679982864888903	3	DOWN
MXRA8	24.843415604248	0.21997977939735	0.679982864888903	3	UP
AURKAIP1	-50.6666674538988	0.0286401874451532	0.600295290036945	3	DOWN
CCNL2	-3.38238072150974	0.318350832173336	0.679982864888903	3	DOWN
MRPL20-AS1	0.0497380408884229	0.584132054757054	0.696250713740245	1	UP
MRPL20	-1.17891229618851	0.899976595133261	0.909857464508367	3	DOWN
ANKRD65	-8.6437943133704	0.347817348295582	0.679982864888903	3	DOWN
VWA1	3.62524078100233	0.218635335170855	0.679982864888903	3	UP
ATAD3B	6.59241736269772	0.335620154792811	0.679982864888903	3	UP
ATAD3A	13.5159809923882	0.137988186291613	0.679982864888903	3	UP
TMEM240	1.05567076791634	0.00121956331905861	0.159283680635619	1	UP
SSU72	25.8703950168107	0.0372450060862253	0.657541317793988	3	UP
SSU72-AS1	0.157220162349391	0.329935398588001	0.679982864888903	1	UP
FNDC10	0.648195307076956	0.000460325499230063	0.0859654587099468	1	UP
MIB2	17.3316190036096	0.0127292039044254	0.481503121964173	3	UP
CDK11B	0.270632701955734	0.00955013944719926	0.44005458871498	1	UP
SLC35E2B	0.30181308046289	0.0114038732068555	0.470092995527043	1	UP
CDK11A	6.09955827369669	0.467990369563727	0.679982864888903	3	UP
NADK	11.0735431705441	0.348156499525365	0.679982864888903	3	UP
GNB1	5.62457562376118	0.638345725381902	0.720272160670724	3	UP
PRKCZ	14.6691437487342	0.0802435704547427	0.679982864888903	3	UP
