# Gyne-DEG Atlas Machine Learning Gene Panel (RandomForest)
# CV Type: LeaveOneDatasetOut
# Mean AUROC: 0.6205
# Fold Details: GSE102293=0.8750, GSE106724=0.5000, GSE114419=0.5000, GSE137684=0.3125, GSE199225=0.5750, GSE207000=0.9444, GSE262302=0.5000, GSE286315=0.4444, GSE316028=1.0000, GSE34526=0.1667, GSE40007=0.5000, GSE44207=0.5000, GSE47360=0.6944, GSE51981=0.6889, GSE56854=0.5000, GSE6364=0.3824, GSE6798=0.8462, GSE75425=0.8750, GSE8157=0.9846
# Total samples: 397 (Cases: 206, Controls: 191)
# Total features: 1247
gene	coefficient	mean_abs_shap
VSIG1	0.007487446277450194	0.007487446277450194
PCSK5	0.004381427477848802	0.004381427477848802
C14orf132	0.00412800770840291	0.00412800770840291
NIPAL4	0.004090644670135516	0.004090644670135516
LMNB1	0.0036754326027909168	0.0036754326027909168
SYT1	0.0036124673686624793	0.0036124673686624793
NUDT6	0.0036047140723311994	0.0036047140723311994
OPRL1	0.0035502636322600105	0.0035502636322600105
CTXN1	0.0034877015321193596	0.0034877015321193596
PLBD1	0.0034115130447610648	0.0034115130447610648
RGMB	0.003407989809078063	0.003407989809078063
PLEKHA6	0.0033427839762771062	0.0033427839762771062
MSR1	0.003262711361067534	0.003262711361067534
TMEM119	0.0032564948838177702	0.0032564948838177702
GCLC	0.0032257269392668687	0.0032257269392668687
HTR1D	0.0031661945958531123	0.0031661945958531123
MYOCD	0.0031156282248431455	0.0031156282248431455
GATM	0.0031067717915790926	0.0031067717915790926
MYLIP	0.003102307363542044	0.003102307363542044
HJURP	0.0030341978893203584	0.0030341978893203584
KIF18B	0.003031900996808645	0.003031900996808645
FBXO43	0.0029810601596707707	0.0029810601596707707
ITPK1	0.0029570952875466717	0.0029570952875466717
CDK1	0.0029557265966866776	0.0029557265966866776
NRG1	0.002903279940069172	0.002903279940069172
BC032899	0.002853157988536972	0.002853157988536972
NCAPD2	0.0028396510909469565	0.0028396510909469565
CLSTN2	0.0028281094681531583	0.0028281094681531583
RCN2	0.0027821076945415413	0.0027821076945415413
IFI44	0.0027420079353730714	0.0027420079353730714
TTN	0.0027284159555764267	0.0027284159555764267
PTGER2	0.0027038843545992273	0.0027038843545992273
RAB27B	0.0026894398522215113	0.0026894398522215113
OLFM1	0.0026786207632712657	0.0026786207632712657
CEACAM16-AS1	0.0026441609788981583	0.0026441609788981583
C5orf46	0.0026400870845789026	0.0026400870845789026
MRPS2	0.002638780692888426	0.002638780692888426
MAP6	0.0026386376797217794	0.0026386376797217794
ERCC6L	0.002636332483592409	0.002636332483592409
STK33	0.0026303483038256246	0.0026303483038256246
CDC7	0.002613246533871387	0.002613246533871387
MGAM	0.0025441301748947293	0.0025441301748947293
ARVCF	0.0025357219061091303	0.0025357219061091303
SKA1	0.0025237294510160207	0.0025237294510160207
AP1S1	0.0024757724439087875	0.0024757724439087875
RAB11A	0.0024665004731526537	0.0024665004731526537
SH3RF2	0.0024638632374459997	0.0024638632374459997
LRRC2	0.002417016304590072	0.002417016304590072
PDE4D	0.002403793899685777	0.002403793899685777
CYB561D1	0.0023807099872890564	0.0023807099872890564
VN1R5	0.0023718103535580776	0.0023718103535580776
IL24	0.002359182978355003	0.002359182978355003
CCDC92	0.0023490640455335913	0.0023490640455335913
NUDT15	0.002340644555979187	0.002340644555979187
ITGB3	0.002319554302411883	0.002319554302411883
LSM11	0.002288693945329267	0.002288693945329267
LY6K	0.002255755145489382	0.002255755145489382
EXO1	0.0022536436204743117	0.0022536436204743117
STBD1	0.0022451650168789443	0.0022451650168789443
RASEF	0.002244016024906672	0.002244016024906672
IRS1	0.002228448138283979	0.002228448138283979
TFAP4	0.0022190629500280458	0.0022190629500280458
FAM24B	0.0022040218042836007	0.0022040218042836007
CEMIP	0.0021945891966694497	0.0021945891966694497
TBX2	0.002186228090359938	0.002186228090359938
GPC2	0.0021835724473809734	0.0021835724473809734
TICAM2	0.0021785782564003116	0.0021785782564003116
TXNDC12	0.0021751989180547847	0.0021751989180547847
TMEM92	0.0021552622439834804	0.0021552622439834804
GLRA2	0.002146362583044827	0.002146362583044827
MIEF2	0.0021246825817796337	0.0021246825817796337
RSPO3	0.002113471621235917	0.002113471621235917
PREX2	0.0021128081114079942	0.0021128081114079942
IFI44L	0.0021089401004164387	0.0021089401004164387
HPSE	0.002085892884354372	0.002085892884354372
SPINT2	0.0020852164883333533	0.0020852164883333533
HMGB2	0.002068113822868029	0.002068113822868029
GCH1	0.002067097807562397	0.002067097807562397
RNF122	0.0020495212045167767	0.0020495212045167767
PRELP	0.002037686349260385	0.002037686349260385
KRT19	0.0020272005135262986	0.0020272005135262986
PLCE1	0.0020136710430818864	0.0020136710430818864
ST6GALNAC5	0.001999091738736242	0.001999091738736242
KIF24	0.0019933827266509774	0.0019933827266509774
NEB	0.001990013278488778	0.001990013278488778
NEURL1B	0.001986873979218043	0.001986873979218043
HMCN1	0.0019800102487649938	0.0019800102487649938
ELOVL2	0.00197775826245148	0.00197775826245148
TG	0.001962238081131806	0.001962238081131806
GPR137C	0.0019613857458941524	0.0019613857458941524
BORA	0.0019569549757658474	0.0019569549757658474
MPV17L	0.0019471362663634395	0.0019471362663634395
MFAP2	0.0019458847842505702	0.0019458847842505702
COQ2	0.0019402148517587488	0.0019402148517587488
DCBLD1	0.0019383608826168545	0.0019383608826168545
CHAF1B	0.0019058192940474166	0.0019058192940474166
WDR76	0.0019018973884643434	0.0019018973884643434
CEBPD	0.0019018332987547732	0.0019018332987547732
DNAJC22	0.0019017144144291118	0.0019017144144291118
SLC25A35	0.0019002912922033135	0.0019002912922033135
RAC1	0.0018929757687006687	0.0018929757687006687
CHAC1	0.0018873966633699488	0.0018873966633699488
OTOGL	0.001882445854399469	0.001882445854399469
POLQ	0.0018795997004621063	0.0018795997004621063
DISP1	0.0018645778469406327	0.0018645778469406327
LONRF1	0.0018555459278173456	0.0018555459278173456
TGFBI	0.0018546450548518278	0.0018546450548518278
DHRS3	0.0018468286248786486	0.0018468286248786486
TP53I3	0.0018466340367256362	0.0018466340367256362
RRAS2	0.0018436910326336013	0.0018436910326336013
DMD	0.0018430291836767493	0.0018430291836767493
POLA1	0.0018425839896931513	0.0018425839896931513
GPER1	0.0018395679434668438	0.0018395679434668438
RTN4R	0.0018335734528859133	0.0018335734528859133
LAMB2P1	0.0018331184638354253	0.0018331184638354253
ACKR3	0.0018258038905542172	0.0018258038905542172
LINC02449	0.001821141255606125	0.001821141255606125
G0S2	0.0018106964953753207	0.0018106964953753207
ADAMTS14	0.0018089224851455291	0.0018089224851455291
PPP1R3B	0.0018033006751159964	0.0018033006751159964
PTTG1	0.0018007027806860164	0.0018007027806860164
RN7SL473P	0.0018003520223761062	0.0018003520223761062
SRD5A1	0.0017978165384952092	0.0017978165384952092
RASSF2	0.001796604329866746	0.001796604329866746
NCEH1	0.0017933868747820058	0.0017933868747820058
HHAT	0.0017785136558873575	0.0017785136558873575
ETV1	0.0017784874137637002	0.0017784874137637002
BCAS4	0.001772905002008156	0.001772905002008156
SLC4A5	0.001747117510924101	0.001747117510924101
CENPW	0.0017357120391960552	0.0017357120391960552
DACT1	0.0017307777719200266	0.0017307777719200266
ESCO2	0.0017287754043769285	0.0017287754043769285
CDKN1A	0.0017278612910510017	0.0017278612910510017
CCNE2	0.0017261739997287981	0.0017261739997287981
BMP4	0.0017230754364545187	0.0017230754364545187
PMEPA1	0.0017161498417010712	0.0017161498417010712
RAD54L	0.0017094501376122891	0.0017094501376122891
OAS1	0.001707354315547578	0.001707354315547578
LINC01615	0.001691217528256776	0.001691217528256776
RN7SL836P	0.001689309593715177	0.001689309593715177
ABCA13	0.0016870380238870983	0.0016870380238870983
PM20D2	0.0016852610699631568	0.0016852610699631568
MEGF9	0.0016833399641343924	0.0016833399641343924
ZSWIM5	0.001681013239609527	0.001681013239609527
PRR5L	0.0016786861545024772	0.0016786861545024772
CHAF1A	0.001673066141234765	0.001673066141234765
CCL2	0.0016717357071585615	0.0016717357071585615
NFATC2	0.0016689467328161603	0.0016689467328161603
BRSK1	0.0016670700754007083	0.0016670700754007083
ZNF630	0.001662066178702753	0.001662066178702753
MAZ	0.0016620601108795032	0.0016620601108795032
PCDHGA1	0.001656886376289812	0.001656886376289812
ANLN	0.00165029976729512	0.00165029976729512
STEAP1	0.0016370704835354433	0.0016370704835354433
ZNF521	0.0016335580745095763	0.0016335580745095763
HUNK	0.0016335311223934007	0.0016335311223934007
ATAD2	0.0016204324836382028	0.0016204324836382028
TIAM1	0.0016140006514104883	0.0016140006514104883
TCF19	0.0016138733573517522	0.0016138733573517522
PDLIM5	0.0016103037472034818	0.0016103037472034818
LASP1	0.0016084828358461905	0.0016084828358461905
TNFAIP6	0.0016071604225902983	0.0016071604225902983
FAM167A	0.0016068295131974803	0.0016068295131974803
